CITIFILE A.01.00
#NA VERSION HP8722ES.07.74: Oct 30, 2002
NAME FORMATTED
VAR FREQ MAG 201
DATA S[1,1] RI
DATA S[2,1] RI
DATA S[1,2] RI
DATA S[2,2] RI
SEG_LIST_BEGIN
SEG 50000000 4500000000 201
SEG_LIST_END
BEGIN
6.66870E-1,-6.34185E-1
6.21276E-1,-6.94488E-1
5.68298E-1,-7.44049E-1
5.20629E-1,-7.6474E-1
4.73541E-1,-7.91351E-1
4.13665E-1,-8.24310E-1
3.53363E-1,-8.46862E-1
2.89032E-1,-8.64227E-1
2.28546E-1,-8.66973E-1
1.64611E-1,-8.79791E-1
0.87432E-1,-8.98437E-1
0.20111E-1,-9.04235E-1
-4.25415E-2,-9.00909E-1
-1.04614E-1,-8.95233E-1
-1.68701E-1,-8.96331E-1
-2.36816E-1,-8.91601E-1
-2.89672E-1,-8.72589E-1
-3.35052E-1,-8.54492E-1
-3.88610E-1,-8.30505E-1
-4.39086E-1,-8.04382E-1
-4.89257E-1,-7.74963E-1
-5.28137E-1,-7.31323E-1
-5.63751E-1,-6.93817E-1
-6.11450E-1,-6.57562E-1
-6.53778E-1,-6.13555E-1
-6.92443E-1,-5.70648E-1
-7.30133E-1,-5.22552E-1
-7.62756E-1,-4.80041E-1
-8.01788E-1,-4.39514E-1
-8.27972E-1,-3.90625E-1
-8.40545E-1,-3.42437E-1
-8.57666E-1,-2.93029E-1
-8.72589E-1,-2.43988E-1
-8.85650E-1,-1.95861E-1
-8.88671E-1,-1.40869E-1
-8.82446E-1,-8.79821E-2
-8.87329E-1,-3.30200E-2
-8.92608E-1,0.25726E-1
-8.90045E-1,0.79528E-1
-8.81042E-1,1.35040E-1
-8.69567E-1,1.87835E-1
-8.64715E-1,2.42584E-1
-8.53393E-1,2.99346E-1
-8.31634E-1,3.45764E-1
-8.10882E-1,3.90533E-1
-7.89947E-1,4.36950E-1
-7.72033E-1,4.79309E-1
-7.40112E-1,5.22491E-1
-7.00927E-1,5.56823E-1
-6.64764E-1,5.92376E-1
-6.26739E-1,6.33697E-1
-5.84625E-1,6.69494E-1
-5.35186E-1,7.03430E-1
-4.78302E-1,7.33947E-1
-4.32495E-1,7.61169E-1
-3.85131E-1,7.91778E-1
-3.34747E-1,8.13201E-1
-2.85980E-1,8.28735E-1
-2.33642E-1,8.43261E-1
-1.83441E-1,8.53759E-1
-1.30310E-1,8.62884E-1
-7.19604E-2,8.64624E-1
-1.52893E-2,8.6203E-1
0.45929E-1,8.59588E-1
1.09863E-1,8.50708E-1
1.66290E-1,8.35449E-1
2.20336E-1,8.12255E-1
2.78869E-1,7.89764E-1
3.40454E-1,7.67761E-1
3.97003E-1,7.37274E-1
4.44335E-1,7.02056E-1
4.90722E-1,6.64306E-1
5.38421E-1,6.24481E-1
5.88073E-1,5.85784E-1
6.26007E-1,5.36010E-1
6.52496E-1,4.82208E-1
6.82189E-1,4.28039E-1
7.12036E-1,3.70910E-1
7.36511E-1,3.10913E-1
7.55859E-1,2.39837E-1
7.68646E-1,1.72088E-1
7.83874E-1,1.11175E-1
7.96295E-1,0.45684E-1
7.97302E-1,-2.07824E-2
7.92144E-1,-8.77685E-2
7.82562E-1,-1.55883E-1
7.70233E-1,-2.14325E-1
7.51709E-1,-2.77862E-1
7.21374E-1,-3.44085E-1
6.85180E-1,-4.06433E-1
6.46606E-1,-4.65759E-1
6.04064E-1,-5.21453E-1
5.53558E-1,-5.72784E-1
4.96734E-1,-6.18347E-1
4.39086E-1,-6.59301E-1
3.77502E-1,-6.96533E-1
3.14300E-1,-7.27294E-1
2.50396E-1,-7.52075E-1
1.94519E-1,-7.71606E-1
1.48437E-1,-7.84912E-1
1.12152E-1,-7.94433E-1
END

